CIF_Combo,into_default,snapshot_date,loan_purpose,balance_sum_eur,fx_rate,PD,EAD,Rating,Score,Class_Chan_Ref_LoDoc,Class_DTI,Class_Initial_LTV,Class_Pay_Ahead,Class_Pay_Hist,Class_Pay_Status,Class_Redraw_Change,Class_Repay_Stat,snapshot_year,balance_sum_loc
533049,0,31Jan2015,IN,126808.10,1.44978,0.001481,189882.30,MA07,658,C,A,C,I,A,B,E,F,2015,183843.84
462039,0,31Jan2015,IN,49018.61,1.44978,0.000408,65430.10,MA03,697,E,A,C,M,C,B,E,D,2015,71066.20
462039,0,31Jan2015,IN,49018.61,1.44978,0.000408,62241.04,MA03,697,E,A,C,M,C,B,E,D,2015,71066.20
586413,0,31Jan2015,IN,124770.18,1.44978,0.001481,42193.15,MA07,656,E,A,C,G,A,B,E,A,2015,180889.31
586413,0,31Jan2015,IN,124770.18,1.44978,0.001481,142697.42,MA07,656,E,A,C,G,A,B,E,A,2015,180889.31
586413,0,31Jan2015,IN,124770.18,1.44978,0.001481,12240.00,MA07,656,E,A,C,G,A,B,E,A,2015,180889.31
507805,0,31Jan2015,IN,52987.99,1.44978,0.013045,71250.72,MA13,607,D,A,C,M,F,A,E,D,2015,76820.93
507805,0,31Jan2015,IN,52987.99,1.44978,0.013045,14782.07,MA13,607,D,A,C,M,F,A,E,D,2015,76820.93
091368,0,31Jan2015,IN,63799.83,1.44978,0.000408,118827.95,MA03,700,E,E,B,M,C,B,E,E,2015,92495.72
406766,0,31Jan2015,OO,89090.26,1.44978,0.000393,183769.59,MA03,703,E,A,A,M,C,B,E,E,2015,129161.28
071056,0,31Jan2015,IN,96357.67,1.44978,0.003064,34680.00,MA10,646,C,A,D,D,C,B,E,A,2015,139697.42
071056,0,31Jan2015,IN,96357.67,1.44978,0.003064,125070.86,MA10,646,C,A,D,D,C,B,E,A,2015,139697.42
071056,0,31Jan2015,IN,96357.67,1.44978,0.003064,11103.01,MA10,646,C,A,D,D,C,B,E,A,2015,139697.42
497461,0,31Jan2015,OO,131536.34,1.44978,0.004441,98997.59,MA11,636,D,E,C,G,B,B,E,F,2015,190698.75
497461,0,31Jan2015,OO,131536.34,1.44978,0.004441,96161.15,MA11,636,D,E,C,G,B,B,E,F,2015,190698.75
609886,0,31Jan2015,OO,26.59,1.44978,0.000159,41809.23,MA02,715,E,A,B,M,B,B,E,D,2015,38.56
085496,0,31Jan2015,IN,0.45,1.44978,0.000408,70995.26,MA03,676,D,A,C,B,B,B,E,A,2015,0.65
085496,0,31Jan2015,IN,0.45,1.44978,0.000408,55996.90,MA03,676,D,A,C,B,B,B,E,A,2015,0.65
